Team,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Arizona Cardinals,2.9,3.5,3.9,3.3,2.9,2.8,3,2.6,3,2.8,2.9,4.3,3.1,3.5,3.3,3.6,2.8,3.2,3.6
Atlanta Falcons,3.7,3.5,3.3,3.4,3.1,3.5,3.3,3.6,3.6,2.9,2.6,2.8,3.2,3.1,2.9,3.1,3.1,3.1,4.1
Baltimore Ravens,2.9,2.7,2.8,2.6,2.8,2.9,2.9,3.3,2.6,3.3,3.3,2.5,2.7,2.4,3.2,2.1,2.6,2.8,2.1
Buffalo Bills,2.9,3.8,2.6,3,3.4,3.6,2.8,2.8,3.2,3.4,3.2,3.4,3,3.4,3.5,2.8,3.2,2.9,2.8
Carolina Panthers,2.4,3.6,4,2.9,2.8,3.4,2.6,2.9,2.5,2.9,2.9,4.1,3.1,3.2,2.9,2.7,2.4,3.1,2.9
Chicago Bears,4,3.4,3.3,2.5,3.1,3.7,2.8,4.4,3.7,2.6,2.2,2.7,3.5,3.4,3.2,2.6,2.5,3.4,3.6
Cincinnati Bengals,3.2,3.6,3.2,3.8,3.5,3.1,2.5,3.5,2.4,2.6,3,2.8,2.5,3.1,3.5,3.2,3.1,3.2,3.4
Cleveland Browns,3.2,3.9,3.6,3.4,2.9,3.8,3.9,3.4,3.1,3.3,3.8,3,3.6,3.4,3.5,3.2,3.1,3.3,2.8
Dallas Cowboys,3.1,3.4,3.6,3.1,3.1,3.4,3.1,3,3.9,3.4,3.5,3.3,2.1,3.5,2.7,3.1,2.4,2.6,2.2
Denver Broncos,2,3.8,2.9,2.7,2.6,2.6,2.4,3.3,3.7,2.5,2.9,3.2,3,3.8,3.4,3.4,2.6,2.8,2.2
Detroit Lions,3,4.1,3.6,2.9,3.4,3.4,3.7,3.1,2.6,2.4,2.5,2.9,4.4,4,4,3.8,3.3,2.8,2.7
Green Bay Packers,2.9,3.2,3,3.5,2.9,3,3.3,2.9,3.6,2.9,3.8,2,3.1,3.2,2.9,2.8,2.9,2.8,3.1
Houston Texans,4.2,3.9,3.3,2.6,3.4,2.8,2.5,2.9,3,2.6,2.6,3.7,2.3,2.9,3.9,3.1,3.8,2.6,3.2
Indianapolis Colts,3.1,3.2,3.1,2.7,3.2,3.1,3.3,3.1,2.9,3.4,4.1,3.1,3,2.8,2.8,3,2.5,2.9,2.8
Jacksonville Jaguars,4.1,3.9,3.5,2.9,1.9,3.4,3.6,3.5,4.1,4.1,4.4,3.6,3.2,3.3,3.1,2,2.2,2.9,2.5
Kansas City Chiefs,3.6,3.1,3.5,3.6,3.1,3.4,2.5,3.3,2.5,4,4.1,2.5,3.3,4.2,2.7,2.8,2.8,3.4,3
Los Angeles Chargers,3.7,3.4,2.5,3.3,2.2,4.1,2.9,3.1,2.9,2.5,2.1,2.7,3.3,3.3,2.5,3,3.4,3.4,3.1
Los Angeles Rams,3.5,2.9,3.2,3.2,2.9,3.2,2.9,2.4,3.8,3.3,3.7,2.8,3.7,3.3,3.6,3.4,3.9,3.6,3
Las Vegas Raiders,2.6,4.2,3.4,3.9,3,3.5,3.6,3.6,3.9,3.4,3.2,3.1,4.1,3.4,3.4,3.9,3.7,3.5,3.4
Miami Dolphins,4.1,2.9,3.7,3.8,3.2,3.2,3.1,3.4,3.5,3.4,3.5,2.8,3.3,3,3.2,2.2,3.2,2.6,2.5
Minnesota Vikings,2.3,3.6,3.1,3.1,2.6,2.8,2.5,3,3.9,3.2,3.3,2.9,2.4,2.8,2.9,2.9,3.3,4,3.7
New England Patriots,2.9,3.1,1.8,2.7,2.9,2.8,2.7,2.9,3.2,2.9,2.5,3.2,2.6,2.8,2.7,2.5,3.1,3,2.8
New Orleans Saints,2.3,3.2,3,3,3.1,3.5,4.1,3.2,2.9,4.4,4.2,2.8,3.5,3.8,2.9,2.7,3.6,3.8,3.3
New York Giants,3.9,3.7,3.4,3.6,3.3,2.8,3.2,3.2,2.9,3.1,3.6,2.9,3.9,2.4,2.6,2.8,2.8,3.1,3.1
New York Jets,4.7,3.8,3,3.7,3.2,3.2,2.5,3.1,3.1,2.6,2.2,2.7,2.4,3.6,2.5,3.1,3.2,2.6,3.1
Philadelphia Eagles,3.4,3.2,2.6,3.4,2.5,3.2,3.8,2.7,3.1,3.4,3.4,2.7,3.4,2.3,3.4,2.9,3.2,2.9,2.6
Pittsburgh Steelers,3,2.9,2.9,3.1,2.6,3.5,3.4,3.1,3.4,2.6,3.1,2.5,2.6,2.5,2.4,2.8,2.9,2,2.4
San Francisco 49ers,3.6,2.8,2.5,3.6,3.6,4.1,3.4,2.8,2.7,2.3,2.4,3.4,2.8,3.2,3.3,3.9,4,3.8,2.8
Seattle Seahawks,3.9,3.5,3.2,3.2,2.6,2.9,2.4,2.4,2.3,2.4,2.5,4.2,3.4,3.2,2.7,2.8,2.7,3.3,3.2
Tampa Bay Buccaneers,3.6,3.2,3.8,3.6,3.3,3.1,3.5,3.2,3.2,3.2,3.6,3,3.1,2.2,2.3,3,2.7,2.5,2.5
Tennessee Titans,4.1,4,3,2.9,3.6,3.4,3.3,3.9,3.1,3.6,3.6,3.9,3.5,2.4,2.5,3.9,3.5,3.4,2.3
Washington Football Team,3.9,2.8,3.7,3.2,3.6,3.4,3,3,3.8,3.4,3.5,3.6,2.6,2.6,3,3,2.4,2.3,3.4
San Diego Chargers,3.7,3.4,2.5,3.3,2.2,4.1,2.9,3.1,2.9,2.5,2.1,2.7,3.3,3.3,2.5,3,3.4,3.4,3.1
St. Louis Rams,3.5,2.9,3.2,3.2,2.9,3.2,2.9,2.4,3.8,3.3,3.7,2.8,3.7,3.3,3.6,3.4,3.9,3.6,3
Oakland Raiders,2.6,4.2,3.4,3.9,3,3.5,3.6,3.6,3.9,3.4,3.2,3.1,4.1,3.4,3.4,3.9,3.7,3.5,3.4
Washington Redskins,3.9,2.8,3.7,3.2,3.6,3.4,3,3,3.8,3.4,3.5,3.6,2.6,2.6,3,3,2.4,2.3,3.4
