Team,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Arizona Cardinals,0.53,0.48,0.46,0.44,0.52,0.51,0.52,0.49,0.51,0.48,0.47,0.44,0.49,0.51,0.50,0.50,0.52,0.52,0.49
Atlanta Falcons,0.49,0.51,0.52,0.49,0.50,0.50,0.54,0.49,0.50,0.52,0.53,0.52,0.50,0.51,0.48,0.49,0.50,0.49,0.46
Baltimore Ravens,0.54,0.53,0.57,0.53,0.51,0.51,0.50,0.49,0.50,0.47,0.51,0.51,0.49,0.54,0.51,0.54,0.51,0.49,0.50
Buffalo Bills,0.54,0.52,0.50,0.51,0.47,0.49,0.52,0.49,0.48,0.50,0.50,0.46,0.46,0.50,0.48,0.47,0.48,0.51,0.49
Carolina Panthers,0.55,0.52,0.48,0.51,0.54,0.51,0.54,0.54,0.53,0.50,0.50,0.46,0.50,0.48,0.48,0.51,0.52,0.50,0.50
Chicago Bears,0.50,0.50,0.50,0.53,0.47,0.47,0.52,0.50,0.51,0.53,0.50,0.50,0.47,0.47,0.47,0.51,0.48,0.47,0.49
Cincinnati Bengals,0.48,0.51,0.49,0.46,0.45,0.50,0.51,0.50,0.53,0.50,0.51,0.52,0.53,0.48,0.49,0.48,0.51,0.49,0.51
Cleveland Browns,0.55,0.51,0.50,0.48,0.47,0.46,0.51,0.47,0.48,0.47,0.49,0.47,0.48,0.46,0.48,0.49,0.47,0.47,0.49
Dallas Cowboys,0.54,0.47,0.49,0.51,0.50,0.52,0.52,0.54,0.48,0.51,0.52,0.52,0.54,0.50,0.52,0.51,0.54,0.51,0.53
Denver Broncos,0.52,0.48,0.49,0.48,0.52,0.47,0.49,0.51,0.51,0.52,0.48,0.47,0.50,0.48,0.49,0.50,0.53,0.54,0.56
Detroit Lions,0.49,0.47,0.48,0.52,0.50,0.49,0.51,0.53,0.54,0.52,0.49,0.49,0.48,0.45,0.46,0.46,0.49,0.47,0.47
Green Bay Packers,0.52,0.55,0.52,0.49,0.48,0.52,0.50,0.51,0.51,0.50,0.51,0.53,0.55,0.53,0.50,0.51,0.51,0.51,0.52
Houston Texans,0.46,0.46,0.50,0.50,0.50,0.53,0.51,0.52,0.51,0.55,0.54,0.48,0.53,0.53,0.49,0.49,0.47,0.50,0.46
Indianapolis Colts,0.52,0.52,0.50,0.49,0.49,0.51,0.49,0.53,0.48,0.51,0.44,0.49,0.47,0.48,0.50,0.51,0.50,0.47,0.51
Jacksonville Jaguars,0.45,0.46,0.51,0.50,0.53,0.49,0.46,0.45,0.46,0.46,0.50,0.53,0.50,0.52,0.53,0.54,0.52,0.51,0.50
Kansas City Chiefs,0.51,0.50,0.49,0.48,0.51,0.49,0.52,0.50,0.52,0.50,0.48,0.51,0.46,0.47,0.50,0.50,0.54,0.54,0.49
Los Angeles Chargers,0.47,0.53,0.51,0.51,0.50,0.51,0.53,0.51,0.54,0.52,0.53,0.55,0.50,0.48,0.49,0.53,0.53,0.52,0.47
Los Angeles Rams,0.49,0.53,0.48,0.51,0.49,0.49,0.46,0.49,0.48,0.48,0.47,0.51,0.49,0.49,0.50,0.52,0.50,0.51,0.52
Las Vegas Raiders,0.49,0.51,0.52,0.51,0.48,0.51,0.49,0.47,0.50,0.49,0.50,0.52,0.47,0.47,0.52,0.47,0.47,0.45,0.46
Miami Dolphins,0.47,0.52,0.47,0.46,0.49,0.48,0.46,0.50,0.47,0.48,0.51,0.51,0.53,0.52,0.49,0.50,0.46,0.47,0.50
Minnesota Vikings,0.51,0.49,0.48,0.49,0.54,0.51,0.51,0.48,0.46,0.47,0.48,0.50,0.55,0.52,0.49,0.53,0.48,0.50,0.55
New England Patriots,0.50,0.48,0.53,0.53,0.50,0.52,0.50,0.50,0.50,0.51,0.48,0.49,0.55,0.54,0.54,0.52,0.50,0.53,0.52
New Orleans Saints,0.51,0.53,0.53,0.53,0.51,0.52,0.52,0.50,0.54,0.48,0.53,0.53,0.52,0.51,0.52,0.53,0.51,0.47,0.51
New York Giants,0.47,0.48,0.47,0.48,0.47,0.47,0.47,0.51,0.48,0.49,0.50,0.54,0.52,0.54,0.52,0.49,0.50,0.48,0.47
New York Jets,0.47,0.47,0.48,0.49,0.50,0.51,0.51,0.51,0.49,0.50,0.51,0.52,0.53,0.50,0.47,0.51,0.44,0.53,0.46
Philadelphia Eagles,0.45,0.48,0.55,0.53,0.55,0.54,0.43,0.44,0.44,0.49,0.52,0.52,0.46,0.51,0.52,0.48,0.47,0.48,0.47
Pittsburgh Steelers,0.50,0.52,0.48,0.51,0.53,0.51,0.49,0.54,0.51,0.54,0.54,0.54,0.53,0.53,0.56,0.52,0.52,0.56,0.51
San Francisco 49ers,0.49,0.52,0.52,0.49,0.48,0.45,0.44,0.52,0.50,0.52,0.53,0.48,0.50,0.49,0.45,0.48,0.45,0.48,0.52
Seattle Seahawks,0.43,0.49,0.51,0.52,0.49,0.50,0.52,0.52,0.50,0.52,0.47,0.46,0.46,0.44,0.49,0.50,0.50,0.48,0.48
Tampa Bay Buccaneers,0.52,0.49,0.52,0.50,0.50,0.51,0.48,0.45,0.49,0.50,0.48,0.51,0.47,0.52,0.50,0.47,0.51,0.50,0.53
Tennessee Titans,0.55,0.47,0.48,0.49,0.50,0.51,0.49,0.46,0.50,0.46,0.47,0.43,0.48,0.49,0.53,0.45,0.52,0.53,0.55
Washington Football Team,0.49,0.50,0.45,0.49,0.49,0.49,0.52,0.51,0.51,0.51,0.50,0.47,0.48,0.53,0.51,0.50,0.52,0.52,0.48
San Diego Chargers,0.47,0.53,0.51,0.51,0.50,0.51,0.53,0.51,0.54,0.52,0.53,0.55,0.50,0.48,0.49,0.53,0.53,0.52,0.47
St. Louis Rams,0.49,0.53,0.48,0.51,0.49,0.49,0.46,0.49,0.48,0.48,0.47,0.51,0.49,0.49,0.50,0.52,0.50,0.51,0.52
Oakland Raiders,0.49,0.51,0.52,0.51,0.48,0.51,0.49,0.47,0.50,0.49,0.50,0.52,0.47,0.47,0.52,0.47,0.47,0.45,0.46
Washington Redskins,0.49,0.50,0.45,0.49,0.49,0.49,0.52,0.51,0.51,0.51,0.50,0.47,0.48,0.53,0.51,0.50,0.52,0.52,0.48
